script,grapheme,unicode,IPA,comment,source,omniglot
Abkhaz,а,U+0430,a,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-192",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,б,U+0431,b,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-193",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,в,U+0432,v,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-194",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,г,U+0433,g,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-195",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,гь,U+0433 U+044C,gʲ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-196",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,гә,U+0433 U+04D9,ɡʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-197",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ҕ,U+0495,ʁ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-199",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ҕь,U+0495 U+044C,ʁʲ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-201",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ҕә,U+0495 U+04D9,ʁʲʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-203",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,д,U+0434,d,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-204",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,дә,U+0434 U+04D9,dʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-205",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,џ,U+045F,ɖʐ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-206",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,џь,U+045F U+044C,ʤ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-207",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,е,U+0435,e,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-208",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,е,U+0435,ɛ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-209",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ҽ,U+04BD,ʈʂ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-210",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ҿ,U+04BF,ʈʂ’,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-211",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ж,U+0436,ʐ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-212",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,жь,U+0436 U+044C,ʒ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-213",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,жә,U+0436 U+04D9,ʒʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-214",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,з,U+0437,z,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-215",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ӡ,U+04E1,ʣ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-216",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ӡә,U+04E1 U+04D9,dʑʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-217",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,и,U+0438,iː,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-218",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,и,U+0438,j,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-219",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,и,U+0438,jə,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-220",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,к,U+043A,k’,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-221",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,кь,U+043A U+044C,kʲ’,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-222",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,кә,U+043A U+04D9,kʷ’,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-223",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,қ,U+049B,kʰ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-224",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,қь,U+049B U+044C,kʲʰ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-225",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,қә,U+049B U+04D9,kwh,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-226",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ҟ,U+049F,q’,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-227",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ҟь,U+049F U+044C,qʲ’,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-228",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,ҟә,U+049F U+04D9,qʷ’,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-229",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,л,U+043B,l,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-230",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,м,U+043C,m,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-231",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,н,U+043D,n,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-232",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,о,U+043E,oː,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-233",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,о,U+043E,ɔ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-234",https://www.omniglot.com/writing/abkhaz.htm
