script,grapheme,IPA,comment,source,omniglot
Archi,а,а,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm 
Archi,аӀ,aˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,а́,á,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,а́а,áː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,а́Ӏ,áˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,б,b,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ц,ts,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ч,tʃ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,чI ,tʃʼ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,цI,ts’,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,д,d,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,е,e,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,еӀ,eˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,е́,é,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,е́е,éː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,е́Ӏ,éˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,г,ɡ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,гв,ɡʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,гь,h,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,и,i ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,иӀ,iˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,и́,í,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,и́и,íː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,й,j,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,к,k,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,кI,k’,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,лI,kɬ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,кь,kɬ’,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,кв,kʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,лIв,kɬʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,кьв,kɬ’ʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,кIв,k’ʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,л,l,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,лъ,ɬ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ллъ,ɬː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ллъв,ɬːʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,лъв,ɬʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,м,m,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,н,n,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,о,o,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,оӀ,oˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,о́,ó,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,о́о,óː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,о́Ӏ,óˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,п,p,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,пI ,p’,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,хъ,q,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,хъӀ,qˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,хъӀв,qʷˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,къӀ,q’ˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,къӀв,q’ʷˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,къ,q’,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ккъӀ,qː’ˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,р,r,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,гъ,ʁ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,гъӀ,ʁˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,гъӀв,ʁʷˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,с,s,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,сс,sː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ш,ʃ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,щ,ʃː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,т,t,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,тI,t’ ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,тв,tʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,у,u,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,уӀ,uˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,у́,ú,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,у́у,úː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,у́Ӏ,úˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,в,w,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,з,z,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ж,ʒ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,жв,ʒʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,гI,ʕ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,х,χ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,хв,χʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,хьӀ,χˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,хьӀв,χʷˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,хх,χː,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ххв,χːʷ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ххьӀ,χːˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,ххьӀв,χːʷˤ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
Archi,хI,ħ,,Chumakina et al. 2007.,httpsː//www.omniglot.com/writing/archi.htm
